epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,91.5141,0.38439,0.37092,0.3479,0.8941,0.99089,1,0.995,0.995,0.99089,1,0.995,0.995,0.24876,0.18808,0.19374,0.68358,0.0005015,0.0005015,0.0005015
77,92.6084,0.32771,0.2615,0.30772,0.84713,0.99089,1,0.995,0.995,0.99089,1,0.995,0.995,0.24876,0.18808,0.19374,0.68358,0.00048152,0.00048152,0.00048152
78,93.7108,0.36197,0.27278,0.33794,0.86025,0.99086,1,0.995,0.995,0.99086,1,0.995,0.995,0.23226,0.1922,0.20583,0.68193,0.00046154,0.00046154,0.00046154
79,94.8073,0.32379,0.26882,0.30672,0.84423,0.99105,1,0.995,0.9658,0.99105,1,0.995,0.995,0.24362,0.20644,0.20107,0.68495,0.00044156,0.00044156,0.00044156
80,95.8823,0.3421,0.25791,0.31386,0.84428,0.99101,1,0.995,0.9619,0.99101,1,0.995,0.995,0.23358,0.21578,0.20889,0.67903,0.00042158,0.00042158,0.00042158
81,96.9622,0.29593,0.2745,0.29287,0.8176,0.99101,1,0.995,0.9619,0.99101,1,0.995,0.995,0.23358,0.21578,0.20889,0.67903,0.0004016,0.0004016,0.0004016
82,98.033,0.26421,0.21911,0.26716,0.8318,0.991,1,0.995,0.995,0.991,1,0.995,0.995,0.23126,0.22095,0.21594,0.67987,0.00038162,0.00038162,0.00038162
83,99.1349,0.29573,0.25476,0.28253,0.83156,0.99107,1,0.995,0.995,0.99107,1,0.995,0.995,0.23009,0.22103,0.20685,0.68562,0.00036164,0.00036164,0.00036164
84,100.249,0.26832,0.21592,0.28616,0.83032,0.99096,1,0.995,0.978,0.99096,1,0.995,0.995,0.23464,0.21726,0.21185,0.68045,0.00034166,0.00034166,0.00034166
85,101.287,0.29516,0.24733,0.28279,0.85496,0.99096,1,0.995,0.978,0.99096,1,0.995,0.995,0.23464,0.21726,0.21185,0.68045,0.00032168,0.00032168,0.00032168
86,102.365,0.30195,0.3335,0.29557,0.8489,0.99086,1,0.995,0.978,0.99086,1,0.995,0.995,0.24343,0.21587,0.20842,0.67694,0.0003017,0.0003017,0.0003017
87,103.426,0.26763,0.27768,0.27329,0.81767,0.99089,1,0.995,0.95513,0.99089,1,0.995,0.995,0.24027,0.20812,0.18957,0.67742,0.00028172,0.00028172,0.00028172
88,104.515,0.37523,0.28096,0.32397,0.89952,0.99103,1,0.995,0.97167,0.99103,1,0.995,0.995,0.24009,0.21024,0.19923,0.67951,0.00026174,0.00026174,0.00026174
89,105.575,0.35378,0.21031,0.33801,0.939,0.99103,1,0.995,0.97167,0.99103,1,0.995,0.995,0.24009,0.21024,0.19923,0.67951,0.00024176,0.00024176,0.00024176
90,106.662,0.27153,0.28789,0.27809,0.81203,0.99098,1,0.995,0.973,0.99098,1,0.995,0.995,0.23796,0.21284,0.20988,0.67673,0.00022178,0.00022178,0.00022178
91,108.346,0.25313,0.20995,0.27003,0.77086,0.99107,1,0.995,0.973,0.99107,1,0.995,0.995,0.20306,0.21308,0.1848,0.66986,0.0002018,0.0002018,0.0002018
92,109.435,0.22199,0.1989,0.23147,0.78455,0.99099,1,0.995,0.995,0.99099,1,0.995,0.995,0.17938,0.21093,0.18533,0.66738,0.00018182,0.00018182,0.00018182
93,110.518,0.21609,0.19627,0.24423,0.80898,0.99099,1,0.995,0.995,0.99099,1,0.995,0.995,0.17938,0.21093,0.18533,0.66738,0.00016184,0.00016184,0.00016184
94,111.627,0.21442,0.19718,0.21361,0.78236,0.99093,1,0.995,0.995,0.99093,1,0.995,0.995,0.17597,0.20925,0.1743,0.66786,0.00014186,0.00014186,0.00014186
95,112.733,0.19804,0.20292,0.22728,0.73729,0.99087,1,0.995,0.995,0.99087,1,0.995,0.995,0.18301,0.20914,0.18184,0.67025,0.00012188,0.00012188,0.00012188
96,113.859,0.1961,0.21049,0.22895,0.76777,0.99079,1,0.995,0.981,0.99079,1,0.995,0.995,0.18968,0.2112,0.19072,0.67103,0.0001019,0.0001019,0.0001019
97,114.912,0.21287,0.20054,0.24776,0.80879,0.99079,1,0.995,0.981,0.99079,1,0.995,0.995,0.18968,0.2112,0.19072,0.67103,8.192e-05,8.192e-05,8.192e-05
98,116.003,0.20059,0.19586,0.2371,0.81019,0.9908,1,0.995,0.981,0.9908,1,0.995,0.995,0.19276,0.2144,0.18899,0.67088,6.194e-05,6.194e-05,6.194e-05
99,117.065,0.21153,0.22291,0.23758,0.79465,0.99083,1,0.995,0.981,0.99083,1,0.995,0.995,0.19092,0.21535,0.1842,0.67097,4.196e-05,4.196e-05,4.196e-05
100,118.139,0.21265,0.21689,0.23865,0.75321,0.99085,1,0.995,0.981,0.99085,1,0.995,0.995,0.18879,0.21578,0.18601,0.67053,2.198e-05,2.198e-05,2.198e-05
